date,adj_close,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2005-05-31,7.08,7.57666666666667,5.19,6.55,4860600.0,21.24,0.0,22.73,15.57,19.65,1.0,1620200.0
2005-04-29,6.50666666666667,7.37666666666667,5.88666666666667,6.43666666666667,3112200.0,19.52,0.0,22.13,17.66,19.31,1.0,1037400.0
2005-03-31,6.29,6.99333333333333,5.75,6.76666666666667,3885900.0,18.87,0.0,20.98,17.25,20.3,1.0,1295300.0
2005-02-28,6.75333333333333,7.78,6.37333333333333,7.56666666666667,2289300.0,20.26,0.0,23.34,19.12,22.7,1.0,763100.0
2005-01-31,7.66666666666667,7.91,6.25333333333333,6.74333333333333,4944600.0,23.0,0.0,23.73,18.76,20.23,1.0,1648200.0
2004-12-31,6.62666666666667,6.71333333333333,5.16666666666667,5.43333333333333,1923900.0,19.88,0.0,20.14,15.5,16.3,1.0,641300.0
2004-11-30,5.37,6.16666666666667,3.66666666666667,3.66666666666667,3598200.0,16.11,0.0,18.5,11.0,11.0,1.0,1199400.0
2004-10-29,3.73333333333333,4.01666666666667,3.63,4.01666666666667,288300.0,11.2,0.0,12.05,10.89,12.05,1.0,96100.0
2004-09-30,4.0,4.0,3.63333333333333,3.76666666666667,908400.0,12.0,0.0,12.0,10.9,11.3,1.0,302800.0
2004-08-31,3.78333333333333,4.06333333333333,3.66666666666667,3.70666666666667,432000.0,11.35,0.0,12.19,11.0,11.12,1.0,144000.0
2004-07-30,3.73333333333333,3.99333333333333,3.6,3.82,780900.0,11.2,0.0,11.98,10.8,11.46,1.0,260300.0
2004-06-30,3.76666666666667,4.0,3.55333333333333,4.0,851400.0,11.3,0.0,12.0,10.66,12.0,1.0,283800.0
2004-05-28,4.03,4.13666666666667,3.61333333333333,4.10666666666667,531900.0,12.09,0.0,12.41,10.84,12.32,1.0,177300.0
2004-04-30,4.10333333333333,4.43666666666667,3.66,4.26333333333333,882300.0,12.31,0.0,13.31,10.98,12.79,1.0,294100.0
2004-03-31,4.18333333333333,4.56333333333333,3.36666666666667,3.51333333333333,1199400.0,12.55,0.0,13.69,10.1,10.54,1.0,399800.0
2004-02-27,3.48,4.66666666666667,3.3,3.85333333333333,1756800.0,10.44,0.0,14.0,9.9,11.56,1.0,585600.0
2004-01-30,3.85333333333333,4.69333333333333,3.38333333333333,3.38333333333333,1415100.0,11.56,0.0,14.08,10.15,10.15,1.0,471700.0
2003-12-31,3.38333333333333,3.53333333333333,2.98333333333333,3.09333333333333,1645800.0,10.15,0.0,10.6,8.95,9.28,1.0,548600.0
2003-11-28,3.03333333333333,3.26666666666667,2.7,3.18666666666667,713400.0,9.1,0.0,9.8,8.1,9.56,1.0,237800.0
2003-10-31,3.2,3.40333333333333,2.73333333333333,2.9,1417800.0,9.6,0.0,10.21,8.2,8.7,1.0,472600.0
2003-09-30,2.90333333333333,3.0,2.2,2.75666666666667,1323000.0,8.71,0.0,9.0,6.6,8.27,1.0,441000.0
2003-08-29,2.83333333333333,3.0,2.5,2.91333333333333,891000.0,8.5,0.0,9.0,7.5,8.74,1.0,297000.0
2003-07-31,3.04333333333333,3.14333333333333,2.12333333333333,2.19,1401900.0,9.13,0.0,9.43,6.37,6.57,1.0,467300.0
2003-06-30,2.28,2.63333333333333,1.82,2.06666666666667,3236100.0,6.84,0.0,7.9,5.46,6.2,1.0,1078700.0
2003-05-30,2.06333333333333,2.23333333333333,1.48,1.70333333333333,2732700.0,6.19,0.0,6.7,4.44,5.11,1.0,910900.0
2003-04-30,1.68666666666667,2.12333333333333,1.33333333333333,1.42,1790400.0,5.06,0.0,6.37,4.0,4.26,1.0,596800.0
2003-03-31,1.55333333333333,2.56333333333333,1.36666666666667,2.25,1421700.0,4.66,0.0,7.69,4.1,6.75,1.0,473900.0
2003-02-28,2.24666666666667,3.06333333333333,1.95,2.91333333333333,1827300.0,6.74,0.0,9.19,5.85,8.74,1.0,609100.0
2003-01-31,2.98666666666667,3.38333333333333,2.51666666666667,2.6,1301100.0,8.96,0.0,10.15,7.55,7.8,1.0,433700.0
2002-12-31,2.6,2.81666666666667,2.25333333333333,2.75,808800.0,7.8,0.0,8.45,6.76,8.25,1.0,269600.0
2002-11-29,2.8,2.83666666666667,2.03,2.34333333333333,1208700.0,8.4,0.0,8.51,6.09,7.03,1.0,402900.0
